,Tertiary Task ,,assisting as requested by roomers for tasks requiring an RN,"Forms and records
Restocking",other assigned tasks by OM/  ,,,,
"1 RN
1MA",,,Rooming,Rooming. Try to take some load off RN if possible so they can triage,"Checkin/out patients
Scheduling",,,"1:1 rooming, 

Huddle at end of morning",
,,,"VM/MSG, can forward to docs if necessary",Assist triage if needed,"workqueues
Proactive calls to NP's,
Schedule overdue patients",,,,
,,,,restocking/forms only if absolutely necessary,other assigned tasks by OM/  ,,,,
"0 RN 
1 MAs",Priority Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
"3 RN 
0 MAs",Priority Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
2 RN                         0 MAs                       ,Priority Task,,"Both RNs room
",,"Checkin/out patients
Scheduling",,,"1:1 rooming,   

Huddle at end of morning",
,Secondary Task,,VM/Triage. Can forward to docs if necessary,,"workqueues
Proactive calls to NP's,
Schedule overdue patients",,,,
,Tertiary Task ,,,,other assigned tasks by OM/  ,,,,
"1 RN 
0 MAs",Priority Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
"0 RN 
0 MAs",Priority Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
