Play ,,Provider,RN,MA,PSR,Extra MA,OM ,Notes ,
,Secondary Task,Assist Roomers,Triage VM/Mychart,Assist other Roomer,"workqueues
Proactive calls to NP's,
Schedule overdue patients",,assist with urgent forms,,
,Tertiary Task ,Respond to triage VM and Mychart, Assisting in Clinic as requested by Roomers or Providers,,other assigned tasks by OM/  ,,,,
"0 RN 
1 MAs",Primary Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
"3 RN 
0 MAs",Primary Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
2 RN                    0 MAs                  ,Primary Task,See Patients,2 RN's will Room  3:2,,"Place holds on 5 spots per affected session. Leave more open for less busy doc
Checkin/out patients
Scheduling",,Route triage VM and Mychart to docs ,"3:2 rooming

Huddle at end of morning",
,Secondary Task,Assist Roomers,Triage VM/Mychart,,"workqueues
Proactive calls to NP's,
Schedule overdue patients",,assist with urgent forms,,
,Tertiary Task ,Respond to triage VM and Mychart,PAs/forms/other duties as assigned,,other assigned tasks by OM/  ,,,,
"1 RN 
0 MAs",Primary Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
"0 RN 
0 MAs",Primary Task,,,,,,,,
,Secondary Task,,,,,,,,
,Tertiary Task ,,,,,,,,
